nodes,buildkb-task,sparql-task,shacl-task
500,0.797915,0.016052,0.04258
1500,1.251975,0.031872,0.074312
2500,1.961183,0.048897,0.114812
3500,2.030746,0.05483,0.15694
4500,2.453934,0.06901,0.164479
5500,2.904181,0.069852,0.200218
6500,3.290278,0.082368,0.223374
7500,4.159798,0.080284,0.271363
8500,5.024842,0.106061,0.292958
9500,5.540375,0.118178,0.325076
