nodes,buildkb,sparql,shacl,infer
30,158.9856414794922,172.84213256835938,161.38605499267578,257.4176940917969
40,158.87311553955078,175.12725830078125,162.34221649169922,258.0504150390625
50,158.84815216064453,172.92465209960938,162.43316650390625,258.4498825073242
100,159.37198638916016,178.88976287841797,166.198486328125,259.44034576416016
200,159.8526840209961,184.86495971679688,176.79596710205078,261.04051971435547
300,164.20587158203125,191.6475372314453,185.86626434326172,262.49430084228516
400,169.91930389404297,196.7855987548828,192.8101043701172,266.6129837036133
500,173.39968872070312,202.25484466552734,201.84119415283203,268.008056640625
