nodes,buildkb-task,sparql-task,shacl-task,infer-task
30,158.88096466064454,173.85771102905272,161.99235076904296,256.6585517883301
40,158.88281936645507,174.21590270996094,162.35780181884766,257.5770118713379
50,159.01487350463867,175.57836532592773,163.15604248046876,257.90205001831055
100,159.3280242919922,177.77116851806642,167.2493797302246,259.0986892700195
200,159.94029998779297,183.83457946777344,175.4948631286621,260.9865669250488
300,164.43316650390625,190.77408981323242,184.85455398559571,262.6640434265137
400,168.78237380981446,195.57561264038085,193.12265396118164,266.62309646606445
500,174.64525756835937,202.74722595214843,202.50792999267577,267.9585670471191
