Generated Classes,infer-task
100,
200,0.8684249999999999
300,1.180325
400,1.6107790000000004
500,1.730778
600,2.44932
700,2.913062
800,5.088245999999998
900,6.012648000000002
1000,7.168164000000001
1100,8.135665999999997
1200,6.850549000000001
1300,12.055121
1400,12.133440000000007
1500,13.643312999999992
