nodes,sparql-task,shacl-task
500,0.016052,0.04258
1500,0.031872,0.074312
2500,0.048897,0.114812
3500,0.05483,0.15694
4500,0.06901,0.164479
5500,0.069852,0.200218
6500,0.082368,0.223374
7500,0.080284,0.271363
8500,0.106061,0.292958
9500,0.118178,0.325076
