C₀ instances,buildkb,sparql,infer
100,0.630021,0.005112,0.207316
200,0.690052,0.005238,0.236833
300,0.737367,0.006584,0.277794
400,0.726904,0.011748,0.325968
500,0.860653,0.00707,0.343946
600,0.786276,0.008286,0.364646
700,0.785376,0.007774,0.390019
800,0.816687,0.008796,0.430926
900,0.862358,0.017405,0.537525
1000,0.878675,0.01233,0.469091
